html_num_tags('iframe'),html_num_tags('script'),html_num_tags('embed'),html_num_tags('object'),html_num_tags('div'),html_num_tags('head'),html_num_tags('body'),html_num_tags('form'),html_num_tags('a'),html_num_tags('small'),html_num_tags('span'),html_num_tags('input'),html_num_tags('applet'),html_num_tags('img'),html_num_tags('video'),html_num_tags('audio'),repu
0,3,0,0,22,1,1,1,3,0,6,3,0,2,0,0,malicious
0,5,0,0,48,1,1,1,31,0,39,3,0,0,0,0,malicious
0,20,0,0,19,1,1,0,15,0,5,0,0,0,0,0,malicious
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,malicious
0,1,0,0,23,1,1,2,35,0,10,7,0,2,0,0,malicious
0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,malicious
0,19,0,0,6,1,1,0,42,0,4,0,0,1,0,0,malicious
0,10,0,0,0,1,0,0,0,0,0,0,0,0,0,0,malicious
0,1,0,0,25,1,1,2,198,0,157,8,0,0,0,0,malicious
0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,malicious
0,1,0,0,37,1,1,2,182,10,48,8,0,14,0,0,malicious
0,4,0,0,35,1,1,1,70,0,10,1,0,2,0,0,malicious
0,15,0,0,0,1,0,0,0,0,0,0,0,0,0,0,malicious
0,20,0,0,67,1,1,2,95,0,40,14,0,0,0,0,malicious
0,4,0,0,9,1,1,0,5,0,5,0,0,0,0,0,malicious
0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,malicious
0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,malicious
0,13,0,1,89,1,1,2,127,0,49,6,0,27,0,0,malicious
0,4,0,0,43,1,1,1,107,0,40,6,0,3,0,0,malicious
0,6,0,0,43,1,1,3,125,0,12,5,0,2,0,0,malicious
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,benign
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,benign
1,8,0,0,20,1,1,0,1,0,8,0,0,0,0,0,benign
0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,benign
0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,benign
0,17,0,0,0,1,0,0,0,0,0,0,0,0,0,0,benign
0,16,0,0,38,1,1,0,66,0,3,0,0,4,0,0,benign
0,2,0,0,19,1,1,1,93,0,3,1,0,1,0,0,benign
0,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,benign
0,16,0,0,35,1,1,0,3,0,1,0,0,4,0,0,benign
1,10,0,0,1,1,1,0,0,0,0,0,0,0,0,0,benign
0,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,benign
0,4,0,0,26,1,1,0,35,0,18,0,0,13,0,0,benign
0,12,0,0,0,1,0,0,0,0,0,0,0,0,0,0,benign
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,benign
0,12,0,0,21,1,1,0,0,0,0,0,0,0,0,0,benign
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,benign
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,benign
0,16,0,0,86,1,1,1,61,0,267,5,0,1,0,0,benign
1,18,0,0,0,1,0,0,0,0,0,0,0,0,0,0,benign
